,Temperatura de aceitação,Temperatura de visitação,Vetor solução,Valor da função
0,1335976.0630652907,1.0,"[0.5837070206329008, 0.21550074394243038, 0.2007922354246688]",58415.009782822235
1,1335976.0630652907,1.0,"[0.46959018915610307, 0.606791646778685, 0.32241668409726254]",5067.724324042407
2,1202378.4567587615,0.5394500860610006,"[0.4270780459595449, 0.015463921612591296, 0.2793926852551099]",135815.73315586627
3,1082140.6110828854,0.3810242613298803,"[0.46730396822357884, 0.06986941121064964, 0.4803944387841178]",84040.82885293655
4,973926.5499745971,0.2994983614228729,"[0.24503771335971292, 0.3859004915071769, 0.24679328139533854]",50978.45180319325
5,876533.8949771372,0.24928897148112472,"[0.5990522196975603, 0.35601492497472276, 0.2879421879023588]",11793.035544590437
6,788880.5054794236,0.2150107093554489,"[0.27020538872214606, 0.2975428752929478, 0.4177868383946279]",29510.693911646973
7,709992.4549314812,0.18998690672762203,"[0.1690081690964383, 0.5114642717098659, 0.5217080943686151]",33343.979493653875
8,638993.2094383332,0.1708380575135282,"[0.13810495992655736, 0.682559926322001, 0.1719978845136671]",92645.40257054612
9,575093.8884944998,0.15566417382380482,"[0.5866097454012063, 0.2447983807129394, 0.2224335527370217]",42549.125656525066
10,517584.49964504986,0.14331206886622477,"[0.23305860207046178, 0.38560029167073673, 0.4473017897085601]",24780.219697833832
11,465826.04968054494,0.1330397059936895,"[0.2097150737633676, 0.23483159206396256, 0.5287490874841742]",52568.647240217666
12,419243.44471249037,0.12434707390602198,"[0.3009827144602127, 0.10332495274333862, 0.5072230765911536]",84322.28512704805
13,377319.1002412414,0.11688442370490561,"[0.2564371687125142, 0.1284035874294108, 0.6310982734557862]",74922.65806657662
14,339587.19021711726,0.11039943908492843,"[0.010962353424007342, 0.356359546514575, 0.6349934148225267]",114403.70111523887
15,305628.4711954055,0.10470530495468637,"[0.28588600300230105, 0.5486136680218149, 0.44776801437341845]",8825.62650546606
16,275065.62407586497,0.09966060637057059,"[0.257548331044855, 0.41862159145834754, 0.2723027369272598]",37410.023597608226
17,247559.06166827847,0.095156230183011,"[0.5652037448278598, 0.11484985112973614, 0.24696629999456904]",86381.42618234467
18,222803.15550145067,0.09110657255318542,"[0.8743237396203407, 0.026758117469169194, 0.05619677596026584]",167991.14739566288
19,200522.8399513056,0.08744348247272554,"[0.32757944387654603, 0.5248614996714115, 0.26346948989300945]",20050.9471922043
20,180470.55595617506,0.08411199428349328,"[0.28679001326564196, 0.5178009390889472, 0.2528742829167085]",28476.84549299495
21,162423.50036055755,0.081067259839486,"[0.17308881842959398, 0.35891785818187166, 0.5127042863272097]",43510.03556426497
22,146181.1503245018,0.07827230330014964,"[0.3111414866406367, 0.39902020844715314, 0.3056539246698776]",22634.583234902268
23,131563.03529205162,0.07569635141052099,"[0.661270140651405, 0.18113517525165465, 0.23799215246159705]",55712.49660303063
24,118406.73176284647,0.07331357366897984,"[0.37872736410469177, 0.3723318147262545, 0.014623125007876995]",127850.34312238962
25,106566.0585865618,0.0711021192129064,"[0.20600405953702014, 0.6129402371233758, 0.17833574472888036]",68288.01812859939
26,95909.45272790563,0.06904337168918877,"[0.3369313592011646, 0.40963975536273384, 0.30599565656349936]",18580.94853243538
27,86318.50745511508,0.06712136643718064,"[0.06845427103396465, 0.39601042535019737, 0.5497066451813327]",86583.32176389574
28,77686.65670960356,0.06532233002915543,"[0.36300359365018164, 0.2926854339303748, 0.3746372094908178]",20610.533807306078
29,69917.99103864322,0.0636343131001255,"[0.2736676844497296, 0.3259061441445404, 0.4568327200126488]",21781.305516155742
30,62926.19193477889,0.06204689505238821,"[0.25082380216366207, 0.3392852834690323, 0.4342369497795932]",26279.44461247482
31,56633.57274130101,0.0605509446746478,"[0.12468339380418395, 0.4773974813158492, 0.2660253843496722]",83260.72595369721
32,50970.21546717091,0.05913842465232496,"[0.3272274892192947, 0.2125638437898751, 0.5178785706346989]",32982.85175577433
33,45873.193920453814,0.05780223082053081,"[0.34906314300879926, 0.29347770406438617, 0.3794447196390631]",21480.389163549185
34,41285.874528408436,0.05653605913361831,"[0.2768707653132592, 0.4866537514067762, 0.2338386404131117]",37207.947046967034
35,37157.28707556759,0.05533429490818576,"[0.1988183480969327, 0.4387312405176844, 0.36192785611133665]",38327.676756079105
36,33441.55836801083,0.05419192008830305,"[0.2868504851259919, 0.3414105831856357, 0.36445271106231064]",24960.07198194201
37,30097.40253120975,0.053104435187206804,"[0.39479767520797737, 0.3470204232054354, 0.22041487688170033]",37065.05843651196
38,27087.662278088774,0.05206779325337656,"[0.34924926206169116, 0.3192599681276811, 0.3577284967277059]",19882.16330301285
39,24378.896050279902,0.05107834374450713,"[0.3000637117378234, 0.30923371355823687, 0.4272801701929792]",21570.53843229622
40,21941.00644525191,0.0501327846095298,"[0.3034525953083233, 0.20654479192114483, 0.23810116295781789]",79886.49643275491
41,19746.90580072672,0.049228121205209696,"[0.4455016127208632, 0.23226184296752908, 0.33689138146945563]",30430.00128165143
42,17772.21522065405,0.04836163093121317,"[0.30106818016628223, 0.3757433748722085, 0.3523555379937381]",20324.116900031724
43,15994.993698588645,0.04753083267176509,"[0.2051710957441892, 0.5754708689900341, 0.23097731374229663]",52586.18788951374
44,14395.49432872978,0.04673346029504199,"[0.1262139554928458, 0.5997168530944483, 0.24707073705895224]",79441.50635055134
45,12955.944895856803,0.045967439592322,"[0.3482216445554564, 0.4191961622474062, 0.23899171684333473]",29253.88440875301
46,11660.350406271124,0.04523086814454291,"[0.3238884023314813, 0.446020042189859, 0.2430052288667999]",29357.683620431824
47,10494.315365644012,0.04452199768961286,"[0.2325389070632132, 0.4869150470790513, 0.3528579903691675]",25773.79794500914
48,9444.88382907961,0.0438392186336781,"[0.12895573122211382, 0.5975859351626333, 0.2853844029671505]",70111.33645498194
49,8500.395446171648,0.04318104640676762,"[0.1069543039123275, 0.5215954195826559, 0.3733058258101929]",71600.81824142742
50,7650.355901554483,0.042546109410306406,"[0.17834861295493393, 0.3620815027728949, 0.49804735073595624]",41872.88239661762
51,6885.320311399036,0.04193313834287766,"[0.17639641687533536, 0.27349931542041034, 0.5458506377728248]",54254.5133194816
52,6196.788280259133,0.04134095672287617,"[0.28748320338912836, 0.35127976603957817, 0.37952324196113396]",22200.53433578428
53,5577.10945223322,0.040768472453561536,"[0.36200682722094446, 0.24729102932369548, 0.3418869420064472]",33809.65494554867
54,5019.398507009897,0.040214670298479534,"[0.32041828766531516, 0.4344541965908745, 0.31908250972650737]",17210.909432872726
55,4517.458656308908,0.03967860515406151,"[0.3308166610797205, 0.37025905456552344, 0.34048361691129525]",18265.492746529817
56,4065.712790678017,0.03915939602207334,"[0.19930161159651766, 0.5579187369506826, 0.28968129716516633]",41531.77497241413
57,3659.1415116102157,0.038656220597983126,"[0.2545784465606613, 0.4266897420764644, 0.3326007605037737]",26852.532187183948
58,3293.2273604491943,0.03816831040266882,"[0.31202912131563837, 0.31165327053458347, 0.36548025590404937]",24799.688341820314
59,2963.9046244042747,0.03769494639453585,"[0.33650785811093853, 0.34352870625345505, 0.3285824117403359]",21633.195005115987
60,2667.514161963847,0.037235455007340185,"[0.35820092843540746, 0.3370368171133449, 0.35568010137893785]",17184.014860376235
61,2400.7627457674625,0.036789204566044016,"[0.32682728606427786, 0.3465555920580154, 0.3712021417461379]",18013.2824867104
62,2160.6864711907165,0.03635560203905985,"[0.2783699967285698, 0.2986332053664553, 0.39845587620466494]",29412.501918804686
63,1944.617824071645,0.03593409009041998,"[0.29486071889672083, 0.35588089847820326, 0.3593149420496362]",22489.43005370219
64,1750.1560416644802,0.03552414439987414,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
65,1575.1404374980325,0.03512527122277558,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
66,1417.626393748229,0.034737005164956536,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
67,1275.8637543734062,0.034358907150694014,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
68,1148.2773789360656,0.03399056256438933,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
69,1033.4496410424592,0.033631579548784554,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
70,930.1046769382133,0.03328158744446053,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
71,837.0942092443919,0.03294023535704357,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
72,753.3847883199528,0.03260719084002413,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
73,678.0463094879575,0.032282138682387766,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
74,610.2416785391617,0.03196477979140118,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
75,549.2175106852457,0.03165483016190376,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
76,494.29575961672106,0.03135201992434605,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
77,444.866183655049,0.031056092464604574,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
78,400.3795652895441,0.030766803609302,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
79,360.3416087605897,0.030483920870982464,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
80,324.30744788453075,0.03020722274804433,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
81,291.8767030960776,0.02993649807482507,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
82,262.6890327864699,0.02967154541767196,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
83,236.4201295078229,0.02941217251322506,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
84,212.77811655704062,0.02915819574548997,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
85,191.50030490133656,0.02890943965859289,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
86,172.35027441120292,0.02866573650239278,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
87,155.11524697008264,0.02842692580837949,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
88,139.60372227307437,0.02819285399351482,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
89,125.64335004576694,0.027963373989879522,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
90,113.07901504119025,0.027738344898174602,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
91,101.77111353707123,0.02751763166329294,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
92,91.5940021833641,0.027301104770328755,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
93,82.4346019650277,0.027088639959529624,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
94,74.19114176852493,0.02688011795881992,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
95,66.77202759167244,0.026675424232637458,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
96,60.09482483250519,0.026474448745927234,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
97,54.085342349254674,0.02627708574222964,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
98,48.676808114329205,0.026083233534884745,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
99,43.80912730289629,0.025892794310451783,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
100,39.42821457260666,0.02570567394351312,"[0.34877325284315874, 0.4077090344869581, 0.3593149420496362]",12406.378967714903
