,Icum1,Icum2,Icum3,Icum4,Icum5
0,66679.34411642406,44145.06003857887,73816.69597837304,74885.76929357329,60741.9339469399
1,54454.51952802815,89028.56031553648,70277.83304795533,46620.12305166377,62785.47137700694
2,57656.45043185643,68547.37958561743,47852.58068622224,65392.223632653426,79540.85121176622
3,83170.10875173552,86865.77864946293,40017.396195142544,84233.28357274964,42887.61899687144
4,79134.9076747177,82863.06467325137,52955.20087944422,39591.994624156934,73886.6666827339
5,63743.49841021989,77677.7700432399,63068.73835116563,74699.08539957799,42591.23985680483
6,57219.95788205648,49030.21523764909,93480.90530928865,72511.42554327444,52736.78417480467
7,40624.733558548556,64020.14210292416,64974.255105038166,77380.08617751572,76425.23383947152
8,51564.893733800105,61743.217120845315,63171.4986278373,78211.58457534073,62053.42842073967
9,60085.66842372053,72151.90735591816,69876.29121112789,46655.48427166322,69431.04912529372
10,59037.515546366536,58258.55518942774,89237.79994360977,57253.368942134475,56117.188277831636
11,48286.2654434975,95474.98590270945,60731.00835799254,65883.49664789022,54318.417876355306
12,73873.1891179454,96955.24440003952,77719.81177878066,47301.36255445176,39418.68552395921
13,61289.04840343262,97047.0539492143,95068.1353361482,37896.37495115473,49217.144148500665
14,52417.65307322168,80965.03957645185,62561.8151245081,67883.94659331697,54429.99821595948
15,84095.34941157278,78479.68813133513,81097.10522561033,89610.90973816818,23377.567398206316
16,58518.71435804096,71726.43045661839,96553.59235465796,46777.28874675279,53219.96501137244
17,36705.44283521709,86651.72582636653,63306.8908101597,62392.74410656779,81467.30299383868
18,50923.80425592495,81717.65205460129,89011.37672623372,86260.44779428068,33148.33902966924
19,46663.42394603543,52116.110305480426,75401.31600266614,72370.15804603945,74700.79931961255
20,36339.196542836624,65076.69613715124,60975.90639745154,96755.66075862576,73956.97749321132
21,73148.85864100167,50999.19495473482,71072.34797172308,80630.88019760398,46544.87372089997
22,51546.26931560477,80155.13208457749,63796.55526351527,73572.01730690489,50881.22876458874
23,43317.67323739826,73625.16305068799,57568.64536522983,84669.99425398582,64237.77680273709
24,92153.19383071671,68645.87571964956,64821.747648392884,44648.71360467791,54822.25696373323
